,word,i,def
191,Advanced,22,To have put forward one's questions
192,Advanced,23,To have enacted or established
193,Advanced,24,"To have furnished with, or caused to be present"
194,Advanced,25,To have invested in or provided financial assistance
195,Advanced,26,To have gradually increased in detail
196,Advanced,27,To have made a claim
197,Advanced,28,"To have headed straight towards a specified direction or object, usually at an accelerated speed"
198,Advanced,29,To have designed with a new shape or form
199,Advanced,30,Past tense for to move forward
200,Advanced,31,"Past tense for to come or go near, or nearer to, in place or time"
201,Advanced,32,Past tense for to re-schedule at an earlier time or date
202,Advanced,33,Ahead of the correct time or schedule
203,Flexible,0,Capable of bending easily without breaking
204,Flexible,1,Able to be easily modified to respond to altered circumstances
205,Flexible,2,Willing or prone to give way to the influence of others
206,Flexible,3,"Having a relaxed, friendly, or unofficial style, manner, or nature"
207,Flexible,4,Physically nimble and quick
208,Flexible,5,"Tolerant of, or open to, new or opposing viewpoints"
209,Flexible,6,Not fixed in place tightly or firmly
210,Flexible,7,Quick or likely to change consistently
211,Flexible,8,"Broadly construed or understood, not strictly literal or exact"
212,Flexible,9,Open to discussion or modification
213,Flexible,10,Extremely limber or flexible
214,Flexible,11,Flexible
215,Flexible,12,Reedy or elongated
216,Flexible,13,Not limited or restricted
217,Flexible,14,Capable of being moved
218,Flexible,15,(of a person) Having many skills
219,Flexible,16,Having two or more sections connected by a flexible joint
220,Flexible,17,"Left to, or regulated by, one's own discretion or judgment"
221,Amiable,0,Having or displaying a friendly and pleasant manner
222,Amiable,1,Having a considerate or kindly disposition
223,Amiable,2,Of or pertaining to pacifism
224,Amiable,3,"Loudly cheerful, enthusiastic or approbatory"
225,Amiable,4,Very pleasant or enjoyable
226,Amiable,5,Happy or carefree
227,Amiable,6,Readily conforming to the authority or will of others
228,Personable,0,"Having appeal in an endearing, sweet or lovable way"
229,Personable,1,(of a man) Aesthetically pleasing to view or look at
230,Passionate,0,Marked by strong and intense feelings or emotions
231,Passionate,1,Marked by intense feelings of a romantic nature
232,Passionate,2,Susceptible to anger or prone to getting on the defensive
233,Passionate,3,Having an unwavering devotion
234,Passionate,4,"Responding readily to something new or stimulating, especially temperamentally"
235,Passionate,5,Affected by or deriving from wildly uncontrolled emotion
236,Passionate,6,"Loudly cheerful, enthusiastic or approbatory"
237,Passionate,7,Attached to someone or something in a neurotic or pathological manner
238,Passionate,8,"Causing emotion, excitement, and enthusiasm"
239,Passionate,9,"Having or arousing feelings of tenderness, sadness, or nostalgia, typically in an exaggerated and self-indulgent way"
240,Passionate,10,Acting or done quickly and without thought or care
241,Passionate,11,"Tending to, or intended to, arouse lustful desire or interest"
242,Passionate,12,Without artificiality or insincerity
243,Passionate,13,Extreme or severe
244,Passionate,14,Characterized by giving love and affection
245,Passionate,15,Impassionate or dispassionate
246,Passionate,16,Having a bad temper
247,Passionate,17,Feeling great anger or rage
248,Detailed,0,Having many details
249,Detailed,1,"Detailed and complicated in design and planning, involving many carefully arranged elements"
250,Detailed,2,Accurate or correct in all details
251,Detailed,3,Constituting or referring to all of something
252,Detailed,4,Giving clear and vividly explicit details
253,Detailed,5,Clearly expressed or identified
254,Detailed,6,Visually impressive or showy
255,Detailed,7,Involving the use of exaggerated or flowery writing or language
256,Detailed,8,"Very fine in texture or structure, especially of intricate workmanship or quality"
257,Detailed,9,Containing lots of news
258,Detailed,10,"(literally or figuratively) Very great in size, amount, degree, intensity, or extent"
259,Detailed,11,Capable of making fine distinctions
260,Detailed,12,(archaic) To have revealed (information)
261,Detailed,13,To have expressed in greater detail
262,Detailed,14,To have depicted pictorially or artistically
263,Detailed,15,To have established or stipulated as a previous condition
264,Detailed,16,To have conveyed in appropriate or telling terms
265,Detailed,17,Past tense for to provide full information about
266,Detailed,18,(typically military) Past tense for to assign (someone) to a specific task
267,Controlled,0,"Coordinated, or done under supervision or control"
268,Controlled,1,Done or operating within certain limits or restrictions
269,Controlled,2,Having control over one's emotions or temperament
270,Controlled,3,Showing self-restraint or abstemious moderation
271,Controlled,4,(of a person) Calm and self-controlled
272,Controlled,5,"(of a rule or discipline) Rigidly enforced, typically demanding total obedience or observance"
273,Controlled,6,In an organized manner
274,Controlled,7,"Polite, compliant, or generally well-behaved"
275,Controlled,8,Careful and prudent in one's speech or actions
276,Controlled,9,"To be continuously haunted or possessed by something, especially negative emotions, ideas or desires"
277,Controlled,10,Regulated or controlled
278,Controlled,11,Being at the mercy of
279,Controlled,12,Not excessively showy or lively
280,Controlled,13,"Of, supporting, or pertaining to traditionalism"
281,Controlled,14,Hierarchic or hierarchical
282,Controlled,15,Forbidden or not permitted
283,Controlled,16,Having sound or fair judgment based on good sense
284,Controlled,17,Conducted without violence
285,Controlled,18,Done or performed with a conscious purpose or intent
286,Controlled,19,"Unnatural, awkward or contrived in nature or behavior"
287,Controlled,20,(of information) Protected from being made public
288,Controlled,21,"Containing only relevant parts, brief and controlled"
289,Controlled,22,To have been in charge or command of
290,Controlled,23,To have convinced or manipulated
291,Controlled,24,To have determined or dictated
292,Controlled,25,"To be cunningly tricked into doing something, usually in an incriminating way"
293,Controlled,26,To have prevented oneself from
294,Controlled,27,To have exploited someone for one's personal gain
295,Controlled,28,Past tense for to operate a machine or device
296,Controlled,29,Past tense for to restrain or to keep in check
297,Steadfast,0,Resolutely or dutifully firm and unwavering
298,Steadfast,1,Firm or resolute in one's views or beliefs
299,Steadfast,2,Physically fixed or immovable
300,Steadfast,3,Lasting or intended to last and remain unchanged
301,Steadfast,4,Marked by strong and intense feelings or emotions
302,Steadfast,5,"At rest, stationary, immobile, not moving"
303,Skillful,0,"Displaying outstanding skill, knowledge, or experience in a given field"
304,Skillful,1,Very good in standard or quality
305,Skillful,2,Having or showing shrewdness and good judgment
306,Skillful,3,Able to deal with people in a sensitive manner
307,Skillful,4,Providing a faithful representation of someone or something
308,Skillful,5,Having a good or detailed knowledge of
309,Skillful,6,"Detailed and complicated in design and planning, involving many carefully arranged elements"
310,Skillful,7,Physically nimble and quick
311,Skillful,8,Visually impressive or showy
312,Quality,0,An attribute of a thing or person
313,Quality,1,The state of having a high degree of excellence
314,Quality,2,A measure of excellence
315,Quality,3,(archaic) The class of people having an aristocratic status
316,Quality,4,A distinct impression or quality associated with something
317,Quality,5,"An object or person's type, class or category"
318,Quality,6,The action or fact of becoming qualified as a recognized practitioner of a profession or activity
319,Quality,7,The feel or characteristics of a surface or object
320,Quality,8,The usefulness of benefit that something provides
321,Quality,9,"The amount, level, or extent to which something happens or is present"
322,Quality,10,"A skill, talent or ability that provides one with a distinct advantage"
323,Quality,11,A great level of skill or ability
324,Quality,12,A way or manner in which something occurs or is done or experienced
325,Quality,13,The quality of being noble or honorable in character or virtue
326,Quality,14,A group that is superior in terms of ability or qualities to the rest of a similar group
327,Quality,15,"The natural colour, texture, and appearance of a person's skin, especially of the face"
328,Quality,16,Courage or spirit
329,Quality,17,"Bearing good value, worth or reliability"
330,Quality,18,Being a person of good repute and character
331,Quality,19,"Consisting of, covered with, or disintegrating into a fine powder"
332,Extensive,0,Large in amount or scale
333,Extensive,1,Covering or affecting a large area
334,Extensive,2,"Profuse, abundant, or vast in quantity or number"
335,Extensive,3,Of very great size or extent
336,Extensive,4,"Lasting for a long time, or longer than expected or usual"
337,Extensive,5,Involving great effort or determination
338,Extensive,6,Widespread in a particular area or at a particular time
339,Extensive,7,Complimentary or flattering to an excessive degree
340,Extensive,8,"Detailed and complicated in design and planning, involving many carefully arranged elements"
341,Extensive,9,"Predominant in influence, number, or importance"
342,Extensive,10,Denoting a high degree of seriousness
343,Extensive,11,Regularly moving or wandering from place to place
344,Extensive,12,Extending or growing in an outward direction or movement
345,Constructive,0,Carefully considered and meant to be helpful
346,Constructive,1,Advantageous to one's aims or goals
347,Constructive,2,Suggested without being stated directly
348,Constructive,3,Capable of forming something
349,Constructive,4,Producing new ideas or products
350,Constructive,5,Pertaining to architecture
351,Constructive,6,Beneficial to one's health
352,Constructive,7,"Relating to intellectual or artistic progress, advancement or achievements"
353,Novel,0,Interestingly new or unusual
354,Novel,1,Causing laughter and providing entertainment
355,Novel,2,"Not yet used, done, or tested"
356,Novel,3,A fictitious prose narrative
357,Novel,4,(a book) A product that's just been made available to the public
358,Novel,5,"Written works, especially those considered of superior or lasting artistic merit"
359,Novel,6,A written work
360,Novel,7,A book or film dealing with love in a sentimental or idealized way
361,Agile,0,Able to move quickly and easily
362,Agile,1,Able to think and understand quickly
363,Agile,2,Having much high-spirited energy
364,Agile,3,(of a person) Possessing strength and athleticism
365,Agile,4,Lean or skinny in build
366,Agile,5,Bitingly or humorously intelligent in nature
367,Robust,0,(of an object) Sturdy in construction
368,Robust,1,(of a person) Being strong and healthy
369,Robust,2,Strong and rich in flavor or smell
370,Robust,3,Not given to or confused by uncertainty or subtlety
371,Robust,4,Rough or boisterous in nature
372,Robust,5,Consisting of matter all through
373,Robust,6,Having a period of great prosperity or rapid economic growth
374,Robust,7,"Natural, unsentimental and straightforward, without artificiality or pretension"
375,Robust,8,Behaving or done in a determined and forceful way
376,Robust,9,Full of energy and life
377,Robust,10,Characterized by great power or forceful
378,Robust,11,Pertaining to the works or period of Rabelais
379,Robust,12,Powerful or rich in volume and sound
380,Robust,13,Providing great utility or usefulness
381,Robust,14,(of a man) Aesthetically pleasing to view or look at
382,Robust,15,Severe or harsh in nature
383,Diligent,0,Having or showing care and conscientiousness in one's work or duties
384,Diligent,1,Having a determined or persistent nature
385,Diligent,2,Preoccupied with something to the exclusion of everything else
386,Diligent,3,"Having or showing boldness, ambition and initiative in achieving a goal"
387,Diligent,4,Having or showing eagerness or enthusiasm towards an activity
388,Diligent,5,Never relaxing or slackening
389,Diligent,6,Completed or done with efficiency
390,Diligent,7,Done with meticulousness and extreme attention to detail
391,Diligent,8,"Characterized by extreme force, degree, or strength"
392,Diligent,9,Reliable or constant
393,Diligent,10,"Having or indicating an efficient, practical, and systematic approach to one's work or a task"
394,Meticulous,0,"Characterized by very precise, conscientious attention to details"
395,Meticulous,1,Arranged or carried out with a planned or organized method or procedure
396,Meticulous,2,Including or considering all elements or aspects
397,Meticulous,3,"Arranged neatly and in order, or inclined to keep things neat and in order"
398,Meticulous,4,"Free from flaws, defects or errors"
399,Meticulous,5,Displaying logic and common sense
400,Meticulous,6,"Affectedly proper, or formal, and rather prudish"
401,Meticulous,7,Sparing or economical with money
402,Methodical,0,In an organized manner
403,Methodical,1,Involving analysis or logical thinking
404,Methodical,2,Clean and tidy in appearance or character
405,Methodical,3,Showing great attention to detail
406,Methodical,4,Marked by a person's overall balance in skill and ability from a performance
407,Methodical,5,Involving great effort or determination
408,Methodical,6,Reasonable and convincing
409,Methodical,7,Regular and even throughout
410,Methodical,8,Done with full awareness of the likely consequences
411,Methodical,9,Involving or using a methodical approach
412,Methodical,10,Even-tempered and reasonable
413,Methodical,11,Done regularly and repeatedly
414,Enterprising,0,Having an ingenious ability to put available resources to use
415,Enterprising,1,"Having or showing boldness, ambition and initiative in achieving a goal"
416,Enterprising,2,Having an adventurous spirit in the pursuit of one's goals
417,Enterprising,3,Ambitious or driven towards a particular goal
418,Enterprising,4,Determined and assertive in nature
419,Enterprising,5,Having or showing determination or resolve
420,Enterprising,6,Displaying a creative streak for a given activity
421,Enterprising,7,Involving active participation
422,Enterprising,8,Beginning to attract attention or critical acclaim
423,Enterprising,9,Technologically advanced or developed
424,Enterprising,10,"Having or indicating an efficient, practical, and systematic approach to one's work or a task"
425,Pleasant,0,Giving a sense of happy satisfaction or enjoyment
426,Pleasant,1,"Having an easygoing and pleasing manner, especially in social situations"
427,Pleasant,2,Causing laughter and providing entertainment
428,Pleasant,3,Advantageous to one's aims or goals
429,Pleasant,4,"Marked by charm, confidence and elegance"
430,Pleasant,5,"(of a place, period of time, or situation) Without disturbance, activity or excitement"
431,Pleasant,6,Noticeably happy and optimistic
432,Pleasant,7,Experiencing or feeling happiness or joy
433,Pleasant,8,Not cloudy
434,Pleasant,9,Melodiously or musically soft and sweet
435,Pleasant,10,(of a place) Pleasant
436,Pleasant,11,Of an acceptable or satisfactory standard
437,Pleasant,12,Pleasing or satisfying
438,Pleasant,13,Inoffensive in nature
439,Pleasant,14,Popular or in demand
440,Pleasant,15,(of a lifestyle) Not having financial stress
441,Pleasant,16,Able to be borne
442,Pleasant,17,(of the climate) Pleasantly refreshing and cool
443,Pleasant,18,Pleasant
444,Persistent,0,Continuing stubbornly in an opinion or course of action in spite of challenges
445,Persistent,1,Continuing to exist or occur over a prolonged period
446,Persistent,2,"Hard-working, diligent or regular (in attendance or work)"
447,Persistent,3,"Happening regularly, time after time"
448,Persistent,4,"Being such by habit, long-established, and not likely to change"
449,Persistent,5,(of a person or their behaviour) Not able to be changed or reformed
450,Persistent,6,Extending or continuing over a relatively long time period
451,Persistent,7,"Having the ability to accept or tolerate delays, problems, or suffering"
452,Persistent,8,Very difficult or impossible to forget
453,Persistent,9,"Slight or subtle, but nagging or persistent"
454,Persistent,10,"To a total, utter or complete degree"
455,Persistent,11,"Not susceptible to corruption, especially by bribery"
456,Persistent,12,Succeeding or following in order
457,Persistent,13,Unable to be stopped
458,Groundbreaking,0,Doing something that has never been done before
459,Groundbreaking,1,"Related to, or caused by an earthquake or other vibration of the Earth"
460,Groundbreaking,2,Criticizing or attacking cherished beliefs or institutions
461,Groundbreaking,3,Generating a sense of pride
462,Adaptable,0,Able to be modified for a new use or purpose
463,Adaptable,1,Able to do many things or accommodate various situations
464,Adaptable,2,"Characterized by obedience, subservience, or readiness to accept instruction or direction"
465,Adaptable,3,Capable of bending easily without breaking
466,Adaptable,4,Quick or likely to change consistently
467,Adaptable,5,Well-meaning and kindly in nature
468,Adaptable,6,Easily managed
469,Adaptable,7,Able to be utilized
470,Adaptable,8,(of a person) Easily influenced by feelings or emotions
471,Adaptable,9,"Consistent, compatible, or in agreement with something or someone else"
472,Adaptable,10,Taking advantage of situations that arise
473,Adaptable,11,Capable of being moved
474,Adaptable,12,Able to be expanded or extended
475,Innovative,0,Involving the use of innovation or imagination during the process of creation
476,Innovative,1,Unusual or unconventional in manner or character
477,Innovative,2,Criticizing or attacking cherished beliefs or institutions
478,Orderly,0,Arranged or carried out with a planned or organized method or procedure
479,Orderly,1,Neat and tidy in nature or appearance
480,Orderly,2,"Polite, compliant, or generally well-behaved"
481,Orderly,3,Regular and even throughout
482,Orderly,4,Reasonable and convincing
483,Orderly,5,"Upstanding, especially law-abiding"
484,Orderly,6,"Peaceful, free from conflict or hostilities"
485,Orderly,7,"Pertaining to points, lines, angels and figures used in geometry"
486,Orderly,8,Characterized by conventional forms of ceremony and behavior
487,Orderly,9,Being clear enough to read
488,Orderly,10,"Realistic and pragmatic, rather than fashionable or attractive"
489,Orderly,11,Even-tempered and reasonable
490,Orderly,12,Able to be read or deciphered
491,Orderly,13,"Done or made with, or characterized by, care and precision"
492,Orderly,14,Typical or expected of something or someone
493,Orderly,15,Perfect order
494,Orderly,16,"A person who assists, guides, or provides a service"
495,Orderly,17,In a graceful manner
496,Honest,0,Free of deceit
497,Honest,1,Truthful without regard to one's feelings
498,Honest,2,Morally virtuous with regard to the truth
499,Honest,3,Exactly as claimed
500,Honest,4,Fair and balanced
501,Honest,5,Simple and unpretentious
502,Honest,6,(of an action) Done without malice despite any undesirable results
503,Honest,7,Free from exaggeration or distortion
504,Honest,8,"Real or genuine, in accordance with the truth, facts or standards"
505,Honest,9,Aggressively vigorous or forceful
506,Honest,10,Not flattering
507,Honest,11,(of an emotion or feeling) Intensely felt
508,Honest,12,"Loudly cheerful, enthusiastic or approbatory"
509,Honest,13,Most intimate or private
510,Honest,14,Totally fairly and undoubtedly
511,Respectful,0,Feeling or showing deference and respect
512,Respectful,1,Willing to assist or give aid
513,Respectful,2,Having a considerate or kindly disposition
514,Respectful,3,Conscious or aware of something
515,Respectful,4,Able to deal with people in a sensitive manner
516,Respectful,5,Expressed appreciatively or as a compliment
517,Respectful,6,Having or showing a modest or low estimate of one's importance
518,Respectful,7,Deemed acceptable or appropriate by society
519,Respectful,8,Tending to worship
520,Respectful,9,"Upstanding, especially law-abiding"
521,Respectful,10,Obedient or attentive to an excessive or servile degree
522,Fluent,0,Able to express oneself easily and articulately
523,Fluent,1,Able to speak or write a particular foreign language easily and accurately
524,Fluent,2,Smoothly graceful and effortless
525,Fluent,3,"Requiring little effort, or encountering minimal resistance"
526,Fluent,4,Tending to talk a lot
527,Fluent,5,"Fluent and easy, often in an insincere or deceptive way"
528,Fluent,6,Pronounced or flowing without any jar or harshness
529,Fluent,7,Competent or skilled in doing or using something
530,Fluent,8,"Of a substance that is flowing, and keeping no shape, such as water"
531,Fluent,9,Bilingual or multilingual
532,Fluent,10,Free from interruptions or stoppages
533,Fluent,11,Expressed in terms intended to persuade or impress
534,Fluent,12,Able to be read or deciphered
535,Fluent,13,Expressing opinions or feelings freely or loudly
536,Fluent,14,Expressive or eloquent in nature
537,Qualified,0,Having the relevant or required qualifications or skills
538,Qualified,1,Not complete or absolute
539,Qualified,2,Appropriate or suitable in the circumstances
540,Qualified,3,Of or relating to comparison
541,Qualified,4,Given official approval after meeting certain standards
542,Qualified,5,Not having all the necessary or appropriate parts
543,Qualified,6,(of a person) Pertaining to one who makes a living from a particular activity
544,Qualified,7,"Arranged or existing for the present, possibly to be changed later"
545,Qualified,8,"Experienced or shrewd, especially excessively or prematurely so"
546,Qualified,9,Ready and willing
547,Qualified,10,"Diluted or weakened, especially with water"
548,Qualified,11,Clearly expressed or identified
549,Qualified,12,Constrained under authority or power
550,Qualified,13,Having been changed from an original form
551,Qualified,14,Successful in producing a desired or intended result
552,Qualified,15,Kept (in reserve) specially for a particular person
553,Qualified,16,Capable of being trusted
554,Qualified,17,To have permitted (someone) to have or do something
555,Qualified,18,Past tense for to bestow legal or official authority to
556,Qualified,19,Past tense for to gain accreditation for something by passing a test or exam
557,Qualified,20,"Past tense for to make, or become, competent or prepared for some position or task"
558,Qualified,21,Past tense for to be entitled to a particular benefit or privilege by fulfilling a necessary condition
559,Qualified,22,"Past tense for to be, or to make properly entitled to be, classed in a particular way"
560,Qualified,23,Past tense for to characterize something by listing its qualities
561,Qualified,24,Past tense for to make (something) less severe or extreme
562,Qualified,25,"Past tense for to slightly modify, especially of a statement by adding reservations or conditions"
563,Qualified,26,Past tense for to represent or estimate at less than the true value or significance
564,Qualified,27,Past tense for to attach a label to
565,Qualified,28,Past tense for to provide a substantiation or justification for
566,Qualified,29,Past tense for distinguish
567,Qualified,30,Past tense for to excuse or be a good reason for
568,Qualified,31,Past tense for to say or write as a reaction
569,Qualified,32,"Past tense for to learn or be taught through sustained practice, study or instruction"
570,Qualified,33,"Past tense for quell the anger, agitation, or excitement of"
571,Qualified,34,Past tense for to cause to proceed or move at a slower pace
572,Wholehearted,0,Having unconditional and enthusiastic support
573,Wholehearted,1,Exhibiting enthusiasm or strong passion
574,Wholehearted,2,Expressing something forcibly and clearly
575,Wholehearted,3,Warm and friendly
576,Wholehearted,4,Denotes a constructive or productive feeling
577,Wholehearted,5,Effusive or exaggerated in one's manner or expression
578,Unique,0,"Being the only one of its kind, typically unique or special in some respect"
579,Unique,1,Distinctive to a person or thing
580,Unique,2,"Characteristic or, or particular to, someone or something"
581,Unique,3,Strange or outside of the norm
582,Unique,4,"Being a single, sole or solitary member a kind, type, or class"
